x_ref,y_ref,yaw_ref
11.733813,9.266187,2.356194
11.683453,9.316547,2.356194
11.633094,9.366906,2.356194
11.582734,9.417266,2.356194
11.532374,9.467626,2.356194
11.482014,9.517986,2.356194
11.431655,9.568345,2.356194
11.381295,9.618705,2.356194
11.330935,9.669065,2.356194
11.280576,9.719424,2.356194
11.230216,9.769784,2.356194
11.179856,9.820144,2.356194
11.129496,9.870504,2.356194
11.079137,9.920863,2.356194
11.028777,9.971223,2.356194
10.978417,10.021583,2.356194
10.928058,10.071942,2.356194
10.877698,10.122302,2.356194
10.827338,10.172662,2.356194
10.776978,10.223022,2.356194
10.726619,10.273381,2.356194
10.676259,10.323741,2.356194
10.625899,10.374101,2.356194
10.575540,10.424460,2.356194
10.525180,10.474820,2.356194
10.474820,10.525180,2.356194
10.424460,10.575540,2.356194
10.374101,10.625899,2.356194
10.323741,10.676259,2.356194
10.273381,10.726619,2.356194
10.223022,10.776978,2.356194
10.172662,10.827338,2.356194
10.122302,10.877698,2.356194
10.071942,10.928058,2.356194
10.021583,10.978417,2.356194
9.971223,11.028777,2.356194
9.920863,11.079137,2.356194
9.870504,11.129496,2.356194
9.820144,11.179856,2.356194
9.769784,11.230216,2.356194
9.719424,11.280576,2.356194
9.669065,11.330935,2.356194
9.618705,11.381295,2.356194
9.568345,11.431655,2.356194
9.517986,11.482014,2.356194
9.467626,11.532374,2.356194
9.417266,11.582734,2.356194
9.366906,11.633094,2.356194
9.316547,11.683453,2.356194
9.266187,11.733813,2.356194
9.215827,11.784173,2.356194
9.165468,11.834532,2.356194
9.115108,11.884892,2.356194
9.064748,11.935252,2.356194
9.014388,11.985612,2.356194
8.964029,12.035971,2.356194
8.913669,12.086331,2.356194
8.863309,12.136691,2.356194
8.812950,12.187050,2.356194
8.762590,12.237410,2.356194
8.712230,12.287770,2.356194
8.661871,12.338129,2.356194
8.611511,12.388489,2.356194
8.561151,12.438849,2.356194
8.510791,12.489209,2.356194
8.460432,12.539568,2.356194
8.410072,12.589928,2.356194
8.359712,12.640288,2.356194
8.309353,12.690647,2.356194
8.258993,12.741007,2.356194
8.208633,12.791367,2.356194
8.158273,12.841727,2.356194
8.107914,12.892086,2.356194
8.057554,12.942446,2.356194
8.007194,12.992806,2.356194
7.956835,13.043165,2.356194
7.906475,13.093525,2.356194
7.856115,13.143885,2.356194
7.805755,13.194245,2.356194
7.755396,13.244604,2.356194
7.705036,13.294964,2.356194
7.654676,13.345324,2.356194
7.604317,13.395683,2.356194
7.553957,13.446043,2.356194
7.503597,13.496403,2.356194
7.453237,13.546763,2.356194
7.402878,13.597122,2.356194
7.352518,13.647482,2.356194
7.302158,13.697842,2.356194
7.251799,13.748201,2.356194
7.201439,13.798561,2.356194
7.151079,13.848921,2.356194
7.100719,13.899281,2.356194
7.050360,13.949640,2.356194
7.000000,14.000000,2.356194
7.000000,14.000000,3.141593
6.949821,14.000000,3.141593
6.899642,14.000000,3.141593
6.849462,14.000000,3.141593
6.799283,14.000000,3.141593
6.749104,14.000000,3.141593
6.698925,14.000000,3.141593
6.648746,14.000000,3.141593
6.598566,14.000000,3.141593
6.548387,14.000000,3.141593
6.498208,14.000000,3.141593
6.448029,14.000000,3.141593
6.397849,14.000000,3.141593
6.347670,14.000000,3.141593
6.297491,14.000000,3.141593
6.247312,14.000000,3.141593
6.197133,14.000000,3.141593
6.146953,14.000000,3.141593
6.096774,14.000000,3.141593
6.046595,14.000000,3.141593
5.996416,14.000000,3.141593
5.946237,14.000000,3.141593
5.896057,14.000000,3.141593
5.845878,14.000000,3.141593
5.795699,14.000000,3.141593
5.745520,14.000000,3.141593
5.695341,14.000000,3.141593
5.645161,14.000000,3.141593
5.594982,14.000000,3.141593
5.544803,14.000000,3.141593
5.494624,14.000000,3.141593
5.444444,14.000000,3.141593
5.394265,14.000000,3.141593
5.344086,14.000000,3.141593
5.293907,14.000000,3.141593
5.243728,14.000000,3.141593
5.193548,14.000000,3.141593
5.143369,14.000000,3.141593
5.093190,14.000000,3.141593
5.043011,14.000000,3.141593
4.992832,14.000000,3.141593
4.942652,14.000000,3.141593
4.892473,14.000000,3.141593
4.842294,14.000000,3.141593
4.792115,14.000000,3.141593
4.741935,14.000000,3.141593
4.691756,14.000000,3.141593
4.641577,14.000000,3.141593
4.591398,14.000000,3.141593
4.541219,14.000000,3.141593
4.491039,14.000000,3.141593
4.440860,14.000000,3.141593
4.390681,14.000000,3.141593
4.340502,14.000000,3.141593
4.290323,14.000000,3.141593
4.240143,14.000000,3.141593
4.189964,14.000000,3.141593
4.139785,14.000000,3.141593
4.089606,14.000000,3.141593
4.039427,14.000000,3.141593
3.989247,14.000000,3.141593
3.939068,14.000000,3.141593
3.888889,14.000000,3.141593
3.838710,14.000000,3.141593
3.788530,14.000000,3.141593
3.738351,14.000000,3.141593
3.688172,14.000000,3.141593
3.637993,14.000000,3.141593
3.587814,14.000000,3.141593
3.537634,14.000000,3.141593
3.487455,14.000000,3.141593
3.437276,14.000000,3.141593
3.387097,14.000000,3.141593
3.336918,14.000000,3.141593
3.286738,14.000000,3.141593
3.236559,14.000000,3.141593
3.186380,14.000000,3.141593
3.136201,14.000000,3.141593
3.086022,14.000000,3.141593
3.035842,14.000000,3.141593
2.985663,14.000000,3.141593
2.935484,14.000000,3.141593
2.885305,14.000000,3.141593
2.835125,14.000000,3.141593
2.784946,14.000000,3.141593
2.734767,14.000000,3.141593
2.684588,14.000000,3.141593
2.634409,14.000000,3.141593
2.584229,14.000000,3.141593
2.534050,14.000000,3.141593
2.483871,14.000000,3.141593
2.433692,14.000000,3.141593
2.383513,14.000000,3.141593
2.333333,14.000000,3.141593
2.283154,14.000000,3.141593
2.232975,14.000000,3.141593
2.182796,14.000000,3.141593
2.132616,14.000000,3.141593
2.082437,14.000000,3.141593
2.032258,14.000000,3.141593
1.982079,14.000000,3.141593
1.931900,14.000000,3.141593
1.881720,14.000000,3.141593
1.831541,14.000000,3.141593
1.781362,14.000000,3.141593
1.731183,14.000000,3.141593
1.681004,14.000000,3.141593
1.630824,14.000000,3.141593
1.580645,14.000000,3.141593
1.530466,14.000000,3.141593
1.480287,14.000000,3.141593
1.430108,14.000000,3.141593
1.379928,14.000000,3.141593
1.329749,14.000000,3.141593
1.279570,14.000000,3.141593
1.229391,14.000000,3.141593
1.179211,14.000000,3.141593
1.129032,14.000000,3.141593
1.078853,14.000000,3.141593
1.028674,14.000000,3.141593
0.978495,14.000000,3.141593
0.928315,14.000000,3.141593
0.878136,14.000000,3.141593
0.827957,14.000000,3.141593
0.777778,14.000000,3.141593
0.727599,14.000000,3.141593
0.677419,14.000000,3.141593
0.627240,14.000000,3.141593
0.577061,14.000000,3.141593
0.526882,14.000000,3.141593
0.476703,14.000000,3.141593
0.426523,14.000000,3.141593
0.376344,14.000000,3.141593
0.326165,14.000000,3.141593
0.275986,14.000000,3.141593
0.225806,14.000000,3.141593
0.175627,14.000000,3.141593
0.125448,14.000000,3.141593
0.075269,14.000000,3.141593
0.025090,14.000000,3.141593
-0.025090,14.000000,3.141593
